식당명,음식,주소,gyung,wedo
망원양꼬치,양꼬치,서울 마포구 망원동 379-2,126.909304161788,37.5555102791619
일등식당,뼈해장국,서울 마포구 망원동 476-1,126.904340952791,37.5605478907113
윤씨밀방,함박,서울 마포구 상수동 315-3,126.921650978253,37.5481123736522
뭄알로이,태국 요리,서울 마포구 상수동 93-113 2층,126.922435345209,37.5486203338554
혼가츠,매운돈까스,서울 마포구 서교동 358-49,126.922036225684,37.552634017836
마녀커리크림치킨,커리크림 치킨,서울 마포구 서교동 402-2,126.919583451929,37.5484769692953
하하,만두 #가지볶음,서울 마포구 연남동 229-12,126.925143407718,37.5632568918704
꼬메이베베,스페인 요리,서울 마포구 연남동 383-72 3층,126.926255669108,37.5613139623965
쿠이신보,야키도리,서울 마포구 합정동 413-16,126.916260982835,37.5487890181916
효동각,짜장면,서울 서대문구 대신동 50-2,126.943693045339,37.5634745150086
달인꽈배기,꽈배기,서울 서대문구 영천동 69-3,126.959910537341,37.5714096279387
신계치,라면,서울 서대문구 창천동 2-24,126.938802917063,37.5588461845974
가마마루이,일본라면,서울 서대문구 창천동 91-6,126.933322929848,37.5603684245226
서대문외할머니라면,다슬기라면,서울 서대문구 충정로2가 124,126.965930779032,37.5653157427837
피자아일랜드,피자,서울 서대문구 홍은동 202-5,126.938328720978,37.5902548794754
홍은손칼국수전문점,칼국수,서울 서대문구 홍은동 48-100,126.945972050162,37.5940054905511
소문난성수감자탕,감자탕,서울 성동구 성수동2가 315-100,127.054429511745,37.5428854313678
미정이네식당,코다리찜,서울 성동구 성수동2가 335-138,127.053895844865,37.5382837294887
돈암순대김밥,순대,서울 성북구 동소문동5가 63-3 돈암제일시장 내,127.01580216176,37.5918400918962
소담,돌냄비우동,서울 성북구 보문동5가 3-3,127.019647004237,37.5838741987091
쌍다리돼지불백,돼지불백,서울 성북구 성북동 109-2,126.995700508445,37.5934786242478
성북동 돼지갈비집,돼지불백,서울 성북구 성북동 114-2,126.996054592143,37.593278075831
참나무 닭나라,장작구이 통닭,서울 성북구 성북동 173-28,127.003221013821,37.5919385029777
